,,,,,,,,,,,,,
,TAREAS PENDIENTES DE PRODUCTOS ,,,,,,,,,,,,
,INFORME DE TAREAS PENDIENTES DE PRODUCTOS ,,,,,,,,,,,,
,,,,,,,,,,,,,
,ID,Título,Descripción,Criterios de Aceptación,Prioridad,Story Points,Sprint,Estado,Épica asociada,,Estado,,Prioridad (MOsCoW)
,TS01,Configuración de Keycloak y Roles de Acceso,"Como desarrollador, quiero configurar Keycloak como servidor de identidad con clientes OIDC diferenciados para la aplicación móvil y el portal del nutricionista, definiendo los roles de paciente y nutricionista con sus permisos correspondientes y configurando las políticas de expiración de sesión y bloqueo por intentos fallidos, para que el sistema pueda distinguir qué puede hacer cada tipo de usuario y garantizar que el control de acceso sea robusto y auditable.","CA01 — Autenticación funcional con roles diferenciados
Dado que la infraestructura de Keycloak está desplegada y configurada,
Cuando un usuario con rol de paciente y otro con rol de nutricionista se autentican correctamente,
Entonces cada uno recibe un token JWT con los claims de rol correspondientes, el backend valida el token en cada petición, y las rutas protegidas por rol rechazan con código 403 cualquier token con rol incorrecto.

CA02 — Bloqueo por intentos fallidos y registro en audit log
Dado que la política de bloqueo está configurada en Keycloak,
Cuando un usuario supera cinco intentos de autenticación fallidos consecutivos,
Entonces Keycloak bloquea la cuenta temporalmente, el sistema registra el evento en el audit log con timestamp e IP de origen, y el usuario no puede autenticarse hasta que expire el bloqueo o el desarrollador lo reactive manualmente.",Must Have,5,1,Completado,EP01,,No se ha iniciado,,Must Have
,TS02,Alta Controlada de Cuentas de Nutricionistas,"Como desarrollador, quiero tener un proceso seguro y controlado para registrar las cuentas de los nutricionistas participantes en el piloto mediante un mecanismo de acceso administrativo protegido, para garantizar que solo profesionales verificados accedan al portal clínico sin necesidad de una interfaz de administración adicional.","CA01 — Cuenta de nutricionista creada correctamente mediante proceso controlado
Dado que el desarrollador ejecuta el proceso de alta de un nuevo nutricionista utilizando el endpoint administrativo protegido,
Cuando proporciona el nombre completo, correo institucional válido y rol del profesional con la API key correcta,
Entonces el sistema crea la cuenta con estado activo, genera una contraseña temporal, envía las credenciales al correo del nutricionista con instrucciones de primer acceso, y registra la acción en el audit log con timestamp.

CA02 — Rechazo por datos inválidos, correo duplicado o API key incorrecta
Dado que se intenta crear una cuenta de nutricionista,
Cuando el correo ya existe en el sistema, falta algún dato obligatorio, o la API key proporcionada es incorrecta,
Entonces el sistema rechaza la operación con el código de error correspondiente, informa el motivo específico del rechazo, y no crea ningún registro parcial de la cuenta.",Must Have,3,1,Completado,EP01,,En curso,,Should Have
,TS03,Esquema Relacional de Base de Datos en PostgreSQL,"Como desarrollador, quiero diseñar e implementar en PostgreSQL el esquema relacional completo del sistema siguiendo el modelo definido en nuestra etapa de diseño, y que debe incluir los tipos de datos, las restricciones de integridad, los índices y las relaciones de todas las tablas del modelo, para garantizar la consistencia, la trazabilidad y la seguridad de todos los datos clínicos que maneja el sistema.","CA01 — Esquema desplegado con integridad referencial completa.
Dado que las migraciones del esquema se ejecutan en el entorno de desarrollo,
Cuando se insertan registros en las tablas principales con datos válidos,
Entonces todas las relaciones de clave foránea se respetan, las restricciones NOT NULL y CHECK se aplican correctamente, y los índices definidos para las consultas frecuentes están activos y funcionando.

CA02 — Migrations versionadas y reproducibles.
Dado que el esquema está versionado mediante migraciones,
Cuando se ejecutan las migraciones en un entorno limpio,
Entonces el esquema completo se despliega en el orden correcto sin errores, es idempotente ante ejecuciones repetidas, y el estado final de la base de datos es idéntico en todos los entornos donde se aplica.",Must Have,5,1,Completado,EP02,,Completado,,Could Have
,TS04,Audit Log Inmutable y Trazabilidad Normativa,"Como desarrollador, quiero implementar un sistema de audit logging inmutable mediante triggers de base de datos y middleware de aplicación que registre todas las operaciones críticas sobre datos clínicos con el actor responsable, el timestamp, la acción realizada y los valores modificados, para cumplir con los requisitos de trazabilidad de la Ley 29733 y la RM 688-2020/MINSA y poder responder a cualquier auditoría normativa.","CA01 — Registro automático de operaciones críticas mediante trigger
Dado que cualquier actor del sistema ejecuta una operación de inserción, modificación o eliminación sobre las tablas profiles o recommendations,
Cuando la operación se completa exitosamente,
Entonces el trigger registra automáticamente en la tabla audit_logs el identificador del actor, el tipo de operación, la tabla afectada, el identificador del registro, el timestamp UTC y un hash de los valores modificados, sin que la capa de aplicación necesite invocar ese registro de forma explícita.

CA02 — Inmutabilidad del audit log para todos los roles
Dado que existen registros en la tabla audit_logs,
Cuando cualquier rol de la aplicación, incluyendo el desarrollador desde la capa de aplicación, intenta modificar o eliminar un registro del audit log,
Entonces el sistema rechaza la operación con un error de permisos, los registros permanecen intactos, y el intento queda registrado en un log de seguridad de nivel superior separado del audit log principal.",Must Have,5,1,Completado,EP06,,Atrasado,,Won't Have
,TS05,Persistencia Local Offline con SQLite,"Como desarrollador, quiero implementar SQLite en la aplicación Flutter mediante sqflite con un esquema local que replique las entidades críticas de ingesta y síntomas incluyendo el campo client_guid para garantizar idempotencia en la sincronización, para que el paciente pueda registrar sus datos sin conexión sin riesgo de pérdida ni duplicación al sincronizar.","CA01 — Escritura local exitosa sin conexión a internet
Dado que el dispositivo del paciente no tiene conexión a internet,
Cuando el paciente registra una comida o síntoma,
Entonces el registro se escribe en SQLite con un client_guid único generado en el cliente, el timestamp local del dispositivo y el estado sync_pending, y la interfaz confirma visualmente al usuario que el dato fue guardado correctamente de forma local.

CA02 — Idempotencia garantizada en la sincronización al recuperar conexión
Dado que el dispositivo recupera la conexión a internet con registros en estado sync_pending,
Cuando el worker de sincronización envía los registros al endpoint de batch sync,
Entonces el backend verifica el client_guid de cada registro y si ya existe en la base de datos central no crea un duplicado, responde con confirmación del registro existente, y el cliente actualiza el estado local a sync_completed.",Must Have,5,2,Completado,EP02,,En espera,,
,TS06,"API REST de Ingesta, Síntomas, Sincronización e Historial","Como desarrollador, quiero implementar los endpoints POST /meals, POST /symptoms, POST /sync/batch y GET /history con validación de esquema, autenticación JWT y manejo de errores estandarizado, para que la aplicación móvil pueda enviar y consultar datos clínicos de forma segura, estructurada e idempotente.","CA01 — Endpoints funcionales con autenticación y validación de esquema
Dado que los endpoints están desplegados y disponibles,
Cuando se realiza una petición válida con un token JWT correcto al cuerpo de cualquiera de los cuatro endpoints,
Entonces el sistema valida el esquema del cuerpo de la petición, procesa la operación correspondiente, persiste o consulta los datos según el caso, y responde con el código HTTP semánticamente correcto (201 para creación exitosa, 200 para consulta exitosa).

CA02 — Rechazo de peticiones sin autenticación válida o con esquema incorrecto
Dado que llega una petición a cualquiera de los endpoints protegidos,
Cuando el token JWT está ausente, expirado o malformado, o el cuerpo de la petición no cumple el esquema definido,
Entonces el sistema responde con código 401 para problemas de autenticación o 422 para problemas de validación, acompañado de un mensaje de error estructurado que describe el problema sin exponer detalles internos del servidor.",Must Have,5,2,Completado,EP02,,,,
